"[-8 -4 2 8]",[0 0]
"[-8 -4 3 -8]",[0 0]
"[-8 -4 3 -7]",[0 0]
"[-8 -4 3 -6]",[0 0]
"[-8 -4 3 -5]",[0 0]
"[-8 -4 3 -4]",[0 0]
"[-8 -4 3 -3]",[0 0]
"[-8 -4 3 -2]",[0 0]
"[-8 -4 3 -1]",[0 0]
"[-8 -4 3 0]",[0 0]
"[-8 -4 3 1]",[0 0]
"[-8 -4 3 2]",[0 0]
"[-8 -4 3 3]",[0 0]
"[-8 -4 3 4]",[0 0]
"[-8 -4 3 5]",[0 0]
"[-8 -4 3 6]",[0 0]
"[-8 -4 3 7]",[0 0]
"[-8 -4 3 8]",[0 0]
"[-8 -4 4 -8]",[0 0]
"[-8 -4 4 -7]",[0 0]
"[-8 -4 4 -6]",[0 0]
"[-8 -4 4 -5]",[0 0]
"[-8 -4 4 -4]",[0 0]
"[-8 -4 4 -3]",[0 0]
"[-8 -4 4 -2]",[0 0]
"[-8 -4 4 -1]",[0 0]
"[-8 -4 4 0]",[0 0]
"[-8 -4 4 1]",[0 0]
"[-8 -4 4 2]",[0 0]
"[-8 -4 4 3]",[0 0]
"[-8 -4 4 4]",[0 0]
"[-8 -4 4 5]",[0 0]
"[-8 -4 4 6]",[0 0]
"[-8 -4 4 7]",[0 0]
"[-8 -4 4 8]",[0 0]
"[-8 -3 0 -8]",[0 0]
"[-8 -3 0 -7]",[0 0]
"[-8 -3 0 -6]",[0 0]
"[-8 -3 0 -5]",[0 0]
"[-8 -3 0 -4]",[0 0]
"[-8 -3 0 -3]",[0 0]
"[-8 -3 0 -2]",[0 0]
"[-8 -3 0 -1]",[0 0]
"[-8 -3 0 0]",[0 0]
"[-8 -3 0 1]",[0 0]
"[-8 -3 0 2]",[0 0]
"[-8 -3 0 3]",[0 0]
"[-8 -3 0 4]",[0 0]
"[-8 -3 0 5]",[0 0]
"[-8 -3 0 6]",[0 0]
"[-8 -3 0 7]",[0 0]
"[-8 -3 0 8]",[0 0]
"[-8 -3 1 -8]",[0 0]
"[-8 -3 1 -7]",[0 0]
"[-8 -3 1 -6]",[0 0]
"[-8 -3 1 -5]",[0 0]
"[-8 -3 1 -4]",[0 0]
"[-8 -3 1 -3]",[0 0]
"[-8 -3 1 -2]",[0 0]
"[-8 -3 1 -1]",[0 0]
"[-8 -3 1 0]",[0 0]
"[-8 -3 1 1]",[0 0]
"[-8 -3 1 2]",[0 0]
"[-8 -3 1 3]",[0 0]
"[-8 -3 1 4]",[0 0]
"[-8 -3 1 5]",[0 0]
"[-8 -3 1 6]",[0 0]
"[-8 -3 1 7]",[0 0]
"[-8 -3 1 8]",[0 0]
"[-8 -3 2 -8]",[0 0]
"[-8 -3 2 -7]",[0 0]
"[-8 -3 2 -6]",[0 0]
"[-8 -3 2 -5]",[0 0]
"[-8 -3 2 -4]",[-107.88024952737665 -103.99480305691299]
