"[-7 0 -1]",[-0.10766573942126778 -0.4340350443500165]
"[-7 0 0]",[-0.43423059230333577 -0.473695270145569]
"[-7 0 1]",[-0.3718246897206627 -0.37259218503110564]
"[-7 0 2]",[-0.2558378335270973 -0.2189554266477618]
"[-7 0 3]",[-0.23649569713389515 -0.23922893845089324]
"[-7 0 4]",[-0.10729217401755226 -0.13254265368466078]
"[-7 0 5]",[-0.07545057370162915 -0.008067669360939642]
"[-7 0 6]",[-0.0038747863807780674 -0.0023157905769237374]
"[-7 0 7]",[-0.00713234678795728 -0.0023601691529529546]
"[-7 1 -7]",[0.015102997396083867 0.03782792067475521]
"[-7 1 -6]",[0.035792639601913805 0.009657798172642758]
"[-7 1 -5]",[0.028900793983048963 0.01371748656381292]
"[-7 1 -4]",[0.012480412413530923 0.008168372433855256]
"[-7 1 -3]",[0.015273908072045433 0.0071548456443598675]
"[-7 1 -2]",[0.006943983040569144 -0.08067697889894782]
"[-7 1 -1]",[0.006580239366110874 -0.3044301845362844]
"[-7 1 0]",[-0.08985720336073476 -0.1037688382434597]
"[-7 1 1]",[-0.07593282730723994 -0.043142838662468104]
"[-7 1 2]",[-0.03988997378495096 -0.028703196808977337]
"[-7 1 3]",[-0.005950514195071246 -2.006383482348906E-4]
"[-7 1 4]",[-0.01484436246797764 -0.004100975587727757]
"[-7 1 5]",[0 0]
"[-7 1 6]",[-4.2726201864073607E-4 0]
"[-7 1 7]",[0 0]
"[-7 2 -7]",[0.055246634598999485 0.015270912762633888]
"[-7 2 -6]",[0.0214033606355528 0.049029011007566285]
"[-7 2 -5]",[0.012964937077585996 0.06081681226209049]
"[-7 2 -4]",[0.024097615473040894 0.016273198492903127]
"[-7 2 -3]",[0.013339013909438533 0.019259487351857858]
"[-7 2 -2]",[0.012206610374903242 0.007797949680320756]
"[-7 2 -1]",[0.011321091570149195 -0.01238020363966431]
"[-7 2 0]",[0.021211061293569436 -0.02760440443283988]
"[-7 2 1]",[0.023909118226967757 0.0227566277467335]
"[-7 2 2]",[0.06516357710217455 0.01380387919144534]
"[-7 2 3]",[0.03956386521191779 0.004044309473477782]
"[-7 2 4]",[0.013928707751546228 0]
"[-7 2 5]",[9.601134982445726E-4 0]
"[-7 2 6]",[0 0.009000000000000001]
"[-7 2 7]",[0 0]
"[-7 3 -7]",[0.19242110238382584 0.024783168599362547]
"[-7 3 -6]",[0.12577071478714064 0.021890042277511856]
"[-7 3 -5]",[0.022914456909632588 0.028924891483268513]
"[-7 3 -4]",[0.09209212848751495 0.01542260001791076]
"[-7 3 -3]",[0.03834691525680343 0.02082503412556575]
"[-7 3 -2]",[0.05343733151417732 0.09962871560519415]
"[-7 3 -1]",[0.46105619235093803 0.13308863421444378]
"[-7 3 0]",[0.22604714811874843 0.2557362892375786]
"[-7 3 1]",[0.27154668137363347 0.4801695380606082]
"[-7 3 2]",[0.09399524493661882 0.08223593300572615]
"[-7 3 3]",[0.10068500723393498 0.1335576835287457]
"[-7 3 4]",[0 0]
"[-7 3 5]",[3.3723287188919547E-4 0]
"[-7 3 6]",[0 0]
"[-7 3 7]",[0.181 0]
"[-7 4 -7]",[-0.13042046590551667 -0.24558395843078717]
"[-7 4 -6]",[-0.14139180045430538 -0.05868401616510094]
"[-7 4 -5]",[-0.044419052565044366 -0.017110332908305777]
"[-7 4 -4]",[-0.0025939189181302725 0.009515509850562584]
"[-7 4 -3]",[0.014300103787218205 0.018841723133423884]
"[-7 4 -2]",[0.020699524750103355 0.020984257390930405]
"[-7 4 -1]",[0.04298099025970631 0.04106641107203736]
"[-7 4 0]",[0.01974651444942994 0.02364566173419982]
"[-7 4 1]",[0.06606130776902559 0]
"[-7 4 2]",[5.314410000000002E-6 0.035171179162151164]
"[-7 4 3]",[0 0.01736095963069445]
"[-7 4 4]",[0.006907123271482097 0]
"[-7 4 5]",[0 0]
"[-7 4 6]",[-0.006447607495852999 0]
"[-7 4 7]",[0 0]
"[-6 -4 -7]",[0 0]
"[-6 -4 -6]",[0 0]
"[-6 -4 -5]",[0 0]
"[-6 -4 -4]",[0.012282872190807884 0.006890081161557744]
"[-6 -4 -3]",[0.014294394244287578 0.01370399317970945]
"[-6 -4 -2]",[0.021174068612983106 0.018988344343566808]
"[-6 -4 -1]",[0.022314831296890887 0.022831475741762315]
"[-6 -4 0]",[0.02301657294481114 0.023234643751629848]
"[-6 -4 1]",[0.02872271939746489 0.028165821267558094]
"[-6 -4 2]",[0.024003468768193436 0.02380150563428708]
"[-6 -4 3]",[0.02819804240245055 0.029154505792814766]
"[-6 -4 4]",[0.010126288347702277 0.01118319346790977]
